"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"otu.1","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Piloderma","Piloderma_lanatum 00011491"
"otu.2","Fungi","Ascomycota","Ascomycota_class_incertae_sedis","Ascomycota_order_incertae_sedis","Ascomycota_family_incertae_sedis","Retiarius","Retiarius_bovicornutus 00030288"
"otu.3","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae",NA,NA
"otu.4","Fungi","Ascomycota",NA,NA,NA,NA,NA
"otu.5","Fungi","Ascomycota","Ascomycota_class_incertae_sedis","Ascomycota_order_incertae_sedis","Ascomycota_family_incertae_sedis","Microcyclospora","Microcyclospora_tardicrescens 00013363"
"otu.6","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA
"otu.7","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Byssocorticium",NA
"otu.8","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Sagenomella","Sagenomella_diversispora 00009831"
"otu.9","Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Gloniaceae","Cenococcum","Cenococcum_sp 00000034"
"otu.10","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Hydnum",NA
"otu.11","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_mordax 00013204"
"otu.12","Fungi","Basidiomycota","Wallemiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium","Geminibasidium_sp 00000018"
"otu.13","Fungi","Ascomycota","Leotiomycetes","Helotiales","Cenangiaceae","Rhabdocline","Rhabdocline_weirii 00013924"
"otu.14","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Alectoria",NA
"otu.15","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales",NA,NA,NA
"otu.16","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_alutacea 00017934"
"otu.17","Fungi","Ascomycota","Ascomycota_class_incertae_sedis","Ascomycota_order_incertae_sedis","Ascomycota_family_incertae_sedis","Retiarius",NA
"otu.18","Fungi","Ascomycota",NA,NA,NA,NA,NA
"otu.19","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Rhizosphaera",NA
"otu.20","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_chlamydosporicum 00013979"
"otu.21","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"otu.22","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Sistotrema","Sistotrema_alboluteum 00008111"
"otu.23","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Thelebolaceae","Hyphozyma","Hyphozyma_roseonigra 00035682"
"otu.24","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Spirographaceae","Spirographa","Spirographa_fusisporella 00019338"
"otu.25","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_adusta 00001674"
"otu.26","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_family_incertae_sedis","Tristratiperidium","Tristratiperidium_microsporum 00039337"
"otu.27","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_roseonigra 00029363"
"otu.28","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Piloderma",NA
"otu.29","Fungi",NA,NA,NA,NA,NA,NA
"otu.30","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Piloderma","Piloderma_byssinum 00004686"
"otu.31","Fungi","Ascomycota","Ascomycota_class_incertae_sedis","Ascomycota_order_incertae_sedis","Ascomycota_family_incertae_sedis","Retiarius","Retiarius_superficiaris 00030291"
"otu.32","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriaceae","Camptophora",NA
"otu.33","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA
"otu.34","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"otu.35","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Sistotrema","Sistotrema_alboluteum 00008111"
"otu.36","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_delica 00003556"
"otu.37","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA
"otu.38","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora_sp 00000008"
"otu.39","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_pseudoteraturgus 00014739"
"otu.40","Fungi","Ascomycota",NA,NA,NA,NA,NA
"otu.41","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Sebacina_epigaea 00002627"
"otu.42","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_fuscidula 00002334"
"otu.43","Fungi","Ascomycota","Eurotiomycetes",NA,NA,NA,NA
"otu.44","Fungi",NA,NA,NA,NA,NA,NA
"otu.45","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_rosea 00003150"
"otu.46","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila",NA
"otu.47","Fungi","Ascomycota","Leotiomycetes","Helotiales","Pezizellaceae","Chalara","Chalara_dualis 00035416"
"otu.48","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Craterellus","Craterellus_tubaeformis 00003695"
"otu.49","Fungi","Ascomycota","Leotiomycetes","Leotiales",NA,NA,NA
"otu.50","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Brevicellicium","Brevicellicium_sp 00001651"
"otu.51","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Piloderma",NA
"otu.52","Fungi","Ascomycota","Ascomycota_class_incertae_sedis","Ascomycota_order_incertae_sedis","Ascomycota_family_incertae_sedis","Retiarius","Retiarius_superficiaris 00030291"
"otu.53","Fungi","Basidiomycota","Agaricomycetes","Gomphales","Gomphaceae","Ramaria","Ramaria_fumosiavellanea 00042392"
"otu.54","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Piloderma","Piloderma_olivaceum 00001977"
"otu.55","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA
"otu.56","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Piloderma",NA
"otu.57","Fungi","Ascomycota",NA,NA,NA,NA,NA
"otu.58","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Leptosporomyces","Leptosporomyces_galzinii 00008754"
"otu.59","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrophorus","Hygrophorus_tennesseensis 00017301"
"otu.60","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora_cabanerensis 00033084"
"otu.61","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_xanthogalactus 00043168"
"otu.62","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Amphisphaeriaceae","Synnemapestaloides","Synnemapestaloides_ericacearum 00036491"
"otu.63","Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcosomataceae","Pseudoplectania",NA
"otu.64","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_catalaunica 00003274"
"otu.65","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"otu.66","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_paludosa 00002076"
"otu.67","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_vinosa 00004445"
"otu.68","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Wilcoxina","Wilcoxina_sp 00000045"
"otu.69","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina",NA
"otu.70","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae",NA,NA
"otu.71","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Nothophaeocryptopus","Nothophaeocryptopus_gaeumannii 00003567"
"otu.72","Fungi","Ascomycota","Leotiomycetes","Phacidiales","Helicogoniaceae","Eleutheromyces",NA
"otu.73","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","Trechispora_stellulata 00007661"
"otu.74","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_sydowii 00000568"
"otu.75","Fungi","Ascomycota",NA,NA,NA,NA,NA
"otu.76","Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_order_incertae_sedis","Dothideomycetes_family_incertae_sedis","Tyrannosorus",NA
"otu.77","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_densifolia 00002458"
"otu.78","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leptodontidiaceae","Leptodontidium","Leptodontidium_sp 00000026"
"otu.79","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA
"otu.80","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma_atroviolaceum 00010386"
"otu.81","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA
"otu.82","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma_portentosum 00002709"
"otu.83","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Sebacina_dimitica 00007215"
"otu.84","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Hydnum","Hydnum_oregonense 00013039"
"otu.85","Fungi","Basidiomycota","Agaricomycetes","Gomphales","Gomphaceae","Ramaria","Ramaria_claviramulata 00028659"
"otu.86","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis",NA
"otu.87","Fungi","Ascomycota",NA,NA,NA,NA,NA
"otu.88","Fungi",NA,NA,NA,NA,NA,NA
"otu.89","Fungi","Ascomycota",NA,NA,NA,NA,NA
"otu.90","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_pseudo-olivascens 00029357"
"otu.91","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Piloderma",NA
"otu.92","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"otu.93","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae","Piloderma",NA
"otu.94","Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Taphrinaceae","Taphrina",NA
"otu.95","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_salishensis 00017964"
"otu.96","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae",NA,NA
"otu.97","Fungi","Ascomycota","Leotiomycetes","Micraspidales","Micraspidaceae","Micraspis","Micraspis_strobilina 00025163"
"otu.98","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"otu.99","Fungi","Basidiomycota","Agaricomycetes","Russulales","Albatrellaceae",NA,NA
"otu.100","Fungi",NA,NA,NA,NA,NA,NA
"otu.101","Fungi","Ascomycota",NA,NA,NA,NA,NA
"otu.102","Fungi",NA,NA,NA,NA,NA,NA
"otu.103","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Tricholoma_mutabile 00014879"
